,occu,raw,proc,compr,crop,cal,flush,pack,start,end,type
0,0.0,0,0,0.0,0,0,0,0,2022-01-19 23:00:00,2022-01-19 23:00:00,<class 'TMclass.PHI_MEMORY'>
1,115200.0,115200,0,0.0,0,0,0,0,2022-01-20 00:00:00,2022-01-22 00:00:00,<class 'TMclass.RAW'>
2,69120.0,0,0,0.0,69120,0,0,0,2022-01-22 00:00:00,2022-01-24 00:00:00,<class 'TMclass.CROP'>
3,46080.0,0,0,0.0,0,0,0,46080,2022-01-24 00:00:00,2022-01-26 00:00:00,<class 'TMclass.PACK'>
4,0.0,0,0,7324.415999999999,0,0,0,0,2022-01-26 00:00:00,2022-01-28 00:00:00,<class 'TMclass.COMPR'>
5,-230400.0,-115200,0,-7324.415999999999,-69120,0,0,-46080,2022-01-29 00:00:00,2022-01-29 01:00:00,<function PHI_MEMORY.format_partition at 0x7f5a37518160>
6,432.0,432,0,0.0,0,0,0,0,2022-02-23 18:30:00,2022-02-23 21:30:00,<class 'TMclass.RAW'>
7,224.0,0,0,0.0,224,0,0,0,2022-02-23 21:30:00,2022-02-23 21:32:00,<class 'TMclass.CROP'>
8,272.0,0,272,0.0,0,0,0,0,2022-02-23 21:32:00,2022-02-23 22:52:00,<class 'TMclass.PROC'>
9,0.0,0,0,9.26432,0,0,0,0,2022-02-23 22:52:00,2022-02-23 22:54:00,<class 'TMclass.COMPR'>
10,432.0,432,0,0.0,0,0,0,0,2022-02-26 07:50:00,2022-02-26 10:50:00,<class 'TMclass.RAW'>
11,224.0,0,0,0.0,224,0,0,0,2022-02-26 10:50:00,2022-02-26 10:52:00,<class 'TMclass.CROP'>
12,272.0,0,272,0.0,0,0,0,0,2022-02-26 10:52:00,2022-02-26 12:12:00,<class 'TMclass.PROC'>
13,0.0,0,0,9.26432,0,0,0,0,2022-02-26 12:12:00,2022-02-26 12:14:00,<class 'TMclass.COMPR'>
14,1080.0,1080,0,0.0,0,0,0,0,2022-03-02 00:00:00,2022-03-03 03:00:00,<class 'TMclass.RAW'>
