,occu,raw,proc,compr,crop,cal,flush,pack,start,end,type
48,472.0,0,472,0.0,0,0,0,0,2022-03-03 19:31:00,2022-03-03 20:11:00,<class 'TMclass.PROC'>
49,0.0,0,0,16.42864,0,0,0,0,2022-03-03 20:11:00,2022-03-03 20:12:00,<class 'TMclass.COMPR'>
50,416.0,416,0,0.0,0,0,0,0,2022-03-04 00:00:00,2022-03-04 00:01:00,<class 'TMclass.RAW'>
51,472.0,0,472,0.0,0,0,0,0,2022-03-04 00:01:00,2022-03-04 00:41:00,<class 'TMclass.PROC'>
52,0.0,0,0,16.42864,0,0,0,0,2022-03-04 00:41:00,2022-03-04 00:42:00,<class 'TMclass.COMPR'>
53,416.0,416,0,0.0,0,0,0,0,2022-03-04 04:30:00,2022-03-04 04:31:00,<class 'TMclass.RAW'>
54,472.0,0,472,0.0,0,0,0,0,2022-03-04 04:31:00,2022-03-04 05:11:00,<class 'TMclass.PROC'>
55,0.0,0,0,16.42864,0,0,0,0,2022-03-04 05:11:00,2022-03-04 05:12:00,<class 'TMclass.COMPR'>
56,416.0,416,0,0.0,0,0,0,0,2022-03-04 09:00:00,2022-03-04 09:01:00,<class 'TMclass.RAW'>
57,472.0,0,472,0.0,0,0,0,0,2022-03-04 09:01:00,2022-03-04 09:41:00,<class 'TMclass.PROC'>
58,0.0,0,0,16.42864,0,0,0,0,2022-03-04 09:41:00,2022-03-04 09:42:00,<class 'TMclass.COMPR'>
59,416.0,416,0,0.0,0,0,0,0,2022-03-04 13:30:00,2022-03-04 13:31:00,<class 'TMclass.RAW'>
60,472.0,0,472,0.0,0,0,0,0,2022-03-04 13:31:00,2022-03-04 14:11:00,<class 'TMclass.PROC'>
61,0.0,0,0,16.42864,0,0,0,0,2022-03-04 14:11:00,2022-03-04 14:12:00,<class 'TMclass.COMPR'>
62,416.0,416,0,0.0,0,0,0,0,2022-03-04 18:00:00,2022-03-04 18:01:00,<class 'TMclass.RAW'>
63,472.0,0,472,0.0,0,0,0,0,2022-03-04 18:01:00,2022-03-04 18:41:00,<class 'TMclass.PROC'>
64,0.0,0,0,16.42864,0,0,0,0,2022-03-04 18:41:00,2022-03-04 18:42:00,<class 'TMclass.COMPR'>
65,416.0,416,0,0.0,0,0,0,0,2022-03-04 22:30:00,2022-03-04 22:31:00,<class 'TMclass.RAW'>
66,472.0,0,472,0.0,0,0,0,0,2022-03-04 22:31:00,2022-03-04 23:11:00,<class 'TMclass.PROC'>
67,0.0,0,0,16.42864,0,0,0,0,2022-03-04 23:11:00,2022-03-04 23:12:00,<class 'TMclass.COMPR'>
68,416.0,416,0,0.0,0,0,0,0,2022-03-05 03:00:00,2022-03-05 03:01:00,<class 'TMclass.RAW'>
69,472.0,0,472,0.0,0,0,0,0,2022-03-05 03:01:00,2022-03-05 03:41:00,<class 'TMclass.PROC'>
70,0.0,0,0,16.42864,0,0,0,0,2022-03-05 03:41:00,2022-03-05 03:42:00,<class 'TMclass.COMPR'>
71,416.0,416,0,0.0,0,0,0,0,2022-03-05 07:30:00,2022-03-05 07:31:00,<class 'TMclass.RAW'>
72,472.0,0,472,0.0,0,0,0,0,2022-03-05 07:31:00,2022-03-05 08:11:00,<class 'TMclass.PROC'>
73,0.0,0,0,16.42864,0,0,0,0,2022-03-05 08:11:00,2022-03-05 08:12:00,<class 'TMclass.COMPR'>
74,416.0,416,0,0.0,0,0,0,0,2022-03-05 12:00:00,2022-03-05 12:01:00,<class 'TMclass.RAW'>
75,472.0,0,472,0.0,0,0,0,0,2022-03-05 12:01:00,2022-03-05 12:41:00,<class 'TMclass.PROC'>
76,0.0,0,0,16.42864,0,0,0,0,2022-03-05 12:41:00,2022-03-05 12:42:00,<class 'TMclass.COMPR'>
77,416.0,416,0,0.0,0,0,0,0,2022-03-05 16:30:00,2022-03-05 16:31:00,<class 'TMclass.RAW'>
78,472.0,0,472,0.0,0,0,0,0,2022-03-05 16:31:00,2022-03-05 17:11:00,<class 'TMclass.PROC'>
79,0.0,0,0,16.42864,0,0,0,0,2022-03-05 17:11:00,2022-03-05 17:12:00,<class 'TMclass.COMPR'>
80,416.0,416,0,0.0,0,0,0,0,2022-03-05 21:00:00,2022-03-05 21:01:00,<class 'TMclass.RAW'>
81,472.0,0,472,0.0,0,0,0,0,2022-03-05 21:01:00,2022-03-05 21:41:00,<class 'TMclass.PROC'>
82,0.0,0,0,16.42864,0,0,0,0,2022-03-05 21:41:00,2022-03-05 21:42:00,<class 'TMclass.COMPR'>
83,416.0,416,0,0.0,0,0,0,0,2022-03-06 01:30:00,2022-03-06 01:31:00,<class 'TMclass.RAW'>
84,472.0,0,472,0.0,0,0,0,0,2022-03-06 01:31:00,2022-03-06 02:11:00,<class 'TMclass.PROC'>
85,0.0,0,0,16.42864,0,0,0,0,2022-03-06 02:11:00,2022-03-06 02:12:00,<class 'TMclass.COMPR'>
86,37440.0,37440,0,0.0,0,0,0,0,2022-03-07 05:30:00,2022-03-07 07:00:00,<class 'TMclass.RAW'>
87,37440.0,37440,0,0.0,0,0,0,0,2022-03-07 08:30:00,2022-03-07 10:00:00,<class 'TMclass.RAW'>
88,10400.0,10400,0,0.0,0,0,0,0,2022-03-07 11:30:00,2022-03-07 14:25:00,<class 'TMclass.RAW'>
89,14976.0,14976,0,0.0,0,0,0,0,2022-03-07 16:00:00,2022-03-07 19:00:00,<class 'TMclass.RAW'>
90,37440.0,37440,0,0.0,0,0,0,0,2022-03-08 00:00:00,2022-03-08 01:30:00,<class 'TMclass.RAW'>
91,2240.0,2240,0,0.0,0,0,0,0,2022-03-08 04:00:00,2022-03-08 10:00:00,<class 'TMclass.RAW'>
92,8320.0,8320,0,0.0,0,0,0,0,2022-03-08 12:00:00,2022-03-08 14:00:00,<class 'TMclass.RAW'>
93,0.0,0,0,0.0,0,0,0,0,2022-03-08 14:00:00,2022-03-08 15:00:00,<function PHI_MEMORY.copy_partition at 0x7f4428701280>
94,1944.0,0,0,0.0,0,0,0,1944,2022-03-08 15:00:00,2022-03-08 15:09:00,<class 'TMclass.PACK'>
95,0.0,0,0,685.7772480000001,0,0,0,0,2022-03-08 15:09:00,2022-03-08 15:18:00,<class 'TMclass.COMPR'>
96,19440.0,0,0,0.0,0,0,0,19440,2022-03-08 15:18:00,2022-03-08 16:48:00,<class 'TMclass.PACK'>
97,0.0,0,0,6857.7724800000005,0,0,0,0,2022-03-08 16:48:00,2022-03-08 18:18:00,<class 'TMclass.COMPR'>
98,19440.0,0,0,0.0,0,0,0,19440,2022-03-08 18:18:00,2022-03-08 19:48:00,<class 'TMclass.PACK'>
99,0.0,0,0,6857.7724800000005,0,0,0,0,2022-03-08 19:48:00,2022-03-08 21:18:00,<class 'TMclass.COMPR'>
100,5400.0,0,0,0.0,0,0,0,5400,2022-03-08 21:18:00,2022-03-08 21:43:00,<class 'TMclass.PACK'>
101,0.0,0,0,1904.9368000000002,0,0,0,0,2022-03-08 21:43:00,2022-03-08 22:08:00,<class 'TMclass.COMPR'>
102,7776.0,0,0,0.0,0,0,0,7776,2022-03-08 22:08:00,2022-03-08 22:44:00,<class 'TMclass.PACK'>
103,0.0,0,0,2743.1089920000004,0,0,0,0,2022-03-08 22:44:00,2022-03-08 23:20:00,<class 'TMclass.COMPR'>
104,-224384.0,-160600,-8776,-19353.915680000002,-1008,0,0,-54000,2022-03-09 16:00:00,2022-03-09 17:00:00,<function PHI_MEMORY.format_partition at 0x7f44287011f0>
105,37440.0,37440,0,0.0,0,0,0,0,2022-03-17 00:00:00,2022-03-17 01:30:00,<class 'TMclass.RAW'>
106,3744.0,3744,0,0.0,0,0,0,0,2022-03-17 06:00:00,2022-03-17 06:55:00,<class 'TMclass.RAW'>
107,368.0,368,0,0.0,0,0,0,0,2022-03-17 00:00:00,2022-03-17 00:01:00,<class 'TMclass.RAW'>
108,320.0,0,0,0.0,320,0,0,0,2022-03-17 00:01:00,2022-03-17 00:02:00,<class 'TMclass.CROP'>
109,368.0,0,368,0.0,0,0,0,0,2022-03-17 00:02:00,2022-03-17 00:42:00,<class 'TMclass.PROC'>
110,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-17 00:42:00,2022-03-17 00:43:00,<class 'TMclass.COMPR'>
111,368.0,368,0,0.0,0,0,0,0,2022-03-17 06:00:00,2022-03-17 06:01:00,<class 'TMclass.RAW'>
112,320.0,0,0,0.0,320,0,0,0,2022-03-17 06:01:00,2022-03-17 06:02:00,<class 'TMclass.CROP'>
113,368.0,0,368,0.0,0,0,0,0,2022-03-17 06:02:00,2022-03-17 06:42:00,<class 'TMclass.PROC'>
114,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-17 06:42:00,2022-03-17 06:43:00,<class 'TMclass.COMPR'>
115,368.0,368,0,0.0,0,0,0,0,2022-03-17 12:00:00,2022-03-17 12:01:00,<class 'TMclass.RAW'>
116,320.0,0,0,0.0,320,0,0,0,2022-03-17 12:01:00,2022-03-17 12:02:00,<class 'TMclass.CROP'>
117,368.0,0,368,0.0,0,0,0,0,2022-03-17 12:02:00,2022-03-17 12:42:00,<class 'TMclass.PROC'>
118,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-17 12:42:00,2022-03-17 12:43:00,<class 'TMclass.COMPR'>
119,368.0,368,0,0.0,0,0,0,0,2022-03-17 18:00:00,2022-03-17 18:01:00,<class 'TMclass.RAW'>
120,320.0,0,0,0.0,320,0,0,0,2022-03-17 18:01:00,2022-03-17 18:02:00,<class 'TMclass.CROP'>
121,368.0,0,368,0.0,0,0,0,0,2022-03-17 18:02:00,2022-03-17 18:42:00,<class 'TMclass.PROC'>
122,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-17 18:42:00,2022-03-17 18:43:00,<class 'TMclass.COMPR'>
123,368.0,368,0,0.0,0,0,0,0,2022-03-18 00:00:00,2022-03-18 00:01:00,<class 'TMclass.RAW'>
124,320.0,0,0,0.0,320,0,0,0,2022-03-18 00:01:00,2022-03-18 00:02:00,<class 'TMclass.CROP'>
125,368.0,0,368,0.0,0,0,0,0,2022-03-18 00:02:00,2022-03-18 00:42:00,<class 'TMclass.PROC'>
126,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-18 00:42:00,2022-03-18 00:43:00,<class 'TMclass.COMPR'>
127,368.0,368,0,0.0,0,0,0,0,2022-03-18 06:00:00,2022-03-18 06:01:00,<class 'TMclass.RAW'>
128,320.0,0,0,0.0,320,0,0,0,2022-03-18 06:01:00,2022-03-18 06:02:00,<class 'TMclass.CROP'>
129,368.0,0,368,0.0,0,0,0,0,2022-03-18 06:02:00,2022-03-18 06:42:00,<class 'TMclass.PROC'>
130,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-18 06:42:00,2022-03-18 06:43:00,<class 'TMclass.COMPR'>
131,368.0,368,0,0.0,0,0,0,0,2022-03-18 12:00:00,2022-03-18 12:01:00,<class 'TMclass.RAW'>
132,320.0,0,0,0.0,320,0,0,0,2022-03-18 12:01:00,2022-03-18 12:02:00,<class 'TMclass.CROP'>
133,368.0,0,368,0.0,0,0,0,0,2022-03-18 12:02:00,2022-03-18 12:42:00,<class 'TMclass.PROC'>
134,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-18 12:42:00,2022-03-18 12:43:00,<class 'TMclass.COMPR'>
135,368.0,368,0,0.0,0,0,0,0,2022-03-18 18:00:00,2022-03-18 18:01:00,<class 'TMclass.RAW'>
136,320.0,0,0,0.0,320,0,0,0,2022-03-18 18:01:00,2022-03-18 18:02:00,<class 'TMclass.CROP'>
137,368.0,0,368,0.0,0,0,0,0,2022-03-18 18:02:00,2022-03-18 18:42:00,<class 'TMclass.PROC'>
138,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-18 18:42:00,2022-03-18 18:43:00,<class 'TMclass.COMPR'>
139,368.0,368,0,0.0,0,0,0,0,2022-03-19 00:00:00,2022-03-19 00:01:00,<class 'TMclass.RAW'>
140,320.0,0,0,0.0,320,0,0,0,2022-03-19 00:01:00,2022-03-19 00:02:00,<class 'TMclass.CROP'>
141,368.0,0,368,0.0,0,0,0,0,2022-03-19 00:02:00,2022-03-19 00:42:00,<class 'TMclass.PROC'>
142,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-19 00:42:00,2022-03-19 00:43:00,<class 'TMclass.COMPR'>
143,368.0,368,0,0.0,0,0,0,0,2022-03-19 06:00:00,2022-03-19 06:01:00,<class 'TMclass.RAW'>
144,320.0,0,0,0.0,320,0,0,0,2022-03-19 06:01:00,2022-03-19 06:02:00,<class 'TMclass.CROP'>
145,368.0,0,368,0.0,0,0,0,0,2022-03-19 06:02:00,2022-03-19 06:42:00,<class 'TMclass.PROC'>
146,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-19 06:42:00,2022-03-19 06:43:00,<class 'TMclass.COMPR'>
147,368.0,368,0,0.0,0,0,0,0,2022-03-19 12:00:00,2022-03-19 12:01:00,<class 'TMclass.RAW'>
148,320.0,0,0,0.0,320,0,0,0,2022-03-19 12:01:00,2022-03-19 12:02:00,<class 'TMclass.CROP'>
149,368.0,0,368,0.0,0,0,0,0,2022-03-19 12:02:00,2022-03-19 12:42:00,<class 'TMclass.PROC'>
150,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-19 12:42:00,2022-03-19 12:43:00,<class 'TMclass.COMPR'>
151,368.0,368,0,0.0,0,0,0,0,2022-03-19 18:00:00,2022-03-19 18:01:00,<class 'TMclass.RAW'>
152,320.0,0,0,0.0,320,0,0,0,2022-03-19 18:01:00,2022-03-19 18:02:00,<class 'TMclass.CROP'>
153,368.0,0,368,0.0,0,0,0,0,2022-03-19 18:02:00,2022-03-19 18:42:00,<class 'TMclass.PROC'>
154,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-19 18:42:00,2022-03-19 18:43:00,<class 'TMclass.COMPR'>
155,368.0,368,0,0.0,0,0,0,0,2022-03-20 00:00:00,2022-03-20 00:01:00,<class 'TMclass.RAW'>
156,320.0,0,0,0.0,320,0,0,0,2022-03-20 00:01:00,2022-03-20 00:02:00,<class 'TMclass.CROP'>
157,368.0,0,368,0.0,0,0,0,0,2022-03-20 00:02:00,2022-03-20 00:42:00,<class 'TMclass.PROC'>
158,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-20 00:42:00,2022-03-20 00:43:00,<class 'TMclass.COMPR'>
159,368.0,368,0,0.0,0,0,0,0,2022-03-20 06:00:00,2022-03-20 06:01:00,<class 'TMclass.RAW'>
160,320.0,0,0,0.0,320,0,0,0,2022-03-20 06:01:00,2022-03-20 06:02:00,<class 'TMclass.CROP'>
161,368.0,0,368,0.0,0,0,0,0,2022-03-20 06:02:00,2022-03-20 06:42:00,<class 'TMclass.PROC'>
162,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-20 06:42:00,2022-03-20 06:43:00,<class 'TMclass.COMPR'>
